onset	duration	trial_type	expected_response	given_response	response_time
 0.000	 52.460	START	0	0	 0.000
 52.460	 9.994	T2	0	0	 0.000
 62.454	 1.712	JITTER3	0	0	 0.000
 64.166	 4.006	ISI4	0	0	 0.000
 68.172	 9.993	P1	0	0	 0.000
 78.165	 1.291	JITTER2	0	0	 0.000
 79.456	 3.004	ISI1	0	0	 0.000
 82.460	 9.992	T1	0	0	 0.000
 92.452	 1.291	JITTER2	0	0	 0.000
 93.743	 3.338	ISI2	0	0	 0.000
 97.081	 9.993	P2	0	0	 0.000
 107.074	 1.692	JITTER3	0	0	 0.000
 108.766	 3.003	ISI1	0	0	 0.000
 111.769	 9.994	P2	0	0	 0.000
 121.763	 1.959	JITTER4	0	0	 0.000
 123.722	 3.338	ISI2	0	0	 0.000
 127.060	 9.993	P1	0	0	 0.000
 137.053	 1.980	JITTER4	0	0	 0.000
 139.033	 3.672	ISI3	0	0	 0.000
 142.705	 9.993	T1	0	0	 0.000
 152.698	 1.291	JITTER2	0	0	 0.000
 153.989	 3.672	ISI3	0	0	 0.000
 157.661	 9.994	P1	0	0	 0.000
 167.655	 1.712	JITTER3	0	0	 0.000
 169.367	 4.006	ISI4	0	0	 0.000
 173.373	 9.993	T2	0	0	 0.000
 183.366	 1.023	JITTER1	0	0	 0.000
 184.389	 3.339	ISI2	0	0	 0.000
 187.728	 9.992	P2	0	0	 0.000
 197.720	 1.960	JITTER4	0	0	 0.000
 199.680	 3.673	ISI3	0	0	 0.000
 203.353	 10.012	T1	0	0	 0.000
 213.365	 1.291	JITTER2	0	0	 0.000
 214.656	 4.006	ISI4	0	0	 0.000
 218.662	 9.994	T2	0	0	 0.000
 228.656	 1.023	JITTER1	0	0	 0.000
 229.679	 3.672	ISI3	0	0	 0.000
 233.351	 9.994	P1	0	0	 0.000
 243.345	 1.692	JITTER3	0	0	 0.000
 245.037	 3.672	ISI3	0	0	 0.000
 248.709	 10.013	P2	0	0	 0.000
 258.722	 1.003	JITTER1	0	0	 0.000
 259.725	 3.004	ISI1	0	0	 0.000
 262.729	 9.993	T1	0	0	 0.000
 272.722	 1.980	JITTER4	0	0	 0.000
 274.702	 4.006	ISI4	0	0	 0.000
 278.708	 9.993	P1	0	0	 0.000
 288.701	 1.024	JITTER1	0	0	 0.000
 289.725	 2.983	ISI1	0	0	 0.000
 292.708	 10.013	T2	0	0	 0.000
 302.721	 1.290	JITTER2	0	0	 0.000
 304.011	 3.319	ISI2	0	0	 0.000
 307.330	 10.012	P2	0	0	 0.000
 317.342	 1.004	JITTER1	0	0	 0.000
 318.346	 4.026	ISI4	0	0	 0.000
 322.372	 9.993	T2	0	0	 0.000
 332.365	 1.693	JITTER3	0	0	 0.000
 334.058	 3.003	ISI1	0	0	 0.000
 337.061	 9.993	T1	0	0	 0.000
 347.054	 1.960	JITTER4	0	0	 0.000
 349.014	 3.337	ISI2	0	0	 0.000
 352.351	 3.103	END	0	0	 0.000
