onset	duration	trial_type	expected_response	given_response	response_time
 0.000	 39.972	START	0	0	 0.000
 39.972	 9.992	P2	0	0	 0.000
 49.964	 1.714	JITTER3	0	0	 0.000
 51.678	 3.672	ISI3	0	0	 0.000
 55.350	 9.992	P1	0	0	 0.000
 65.342	 1.023	JITTER1	0	0	 0.000
 66.365	 2.984	ISI1	0	0	 0.000
 69.349	 9.993	T2	0	0	 0.000
 79.342	 1.980	JITTER4	0	0	 0.000
 81.322	 4.007	ISI4	0	0	 0.000
 85.329	 9.992	P1	0	0	 0.000
 95.321	 1.024	JITTER1	0	0	 0.000
 96.345	 3.337	ISI2	0	0	 0.000
 99.682	 9.994	T1	0	0	 0.000
 109.676	 1.291	JITTER2	0	0	 0.000
 110.967	 3.003	ISI1	0	0	 0.000
 113.970	 9.993	P2	0	0	 0.000
 123.963	 1.692	JITTER3	0	0	 0.000
 125.655	 3.338	ISI2	0	0	 0.000
 128.993	 9.993	T2	0	0	 0.000
 138.986	 1.980	JITTER4	0	0	 0.000
 140.966	 2.983	ISI1	0	0	 0.000
 143.949	 9.993	P1	0	0	 0.000
 153.942	 1.023	JITTER1	0	0	 0.000
 154.965	 3.673	ISI3	0	0	 0.000
 158.638	 9.992	T1	0	0	 0.000
 168.630	 1.713	JITTER3	0	0	 0.000
 170.343	 2.984	ISI1	0	0	 0.000
 173.327	 9.992	P2	0	0	 0.000
 183.319	 1.291	JITTER2	0	0	 0.000
 184.610	 4.026	ISI4	0	0	 0.000
 188.636	 9.994	T2	0	0	 0.000
 198.630	 1.692	JITTER3	0	0	 0.000
 200.322	 3.337	ISI2	0	0	 0.000
 203.659	 9.994	T1	0	0	 0.000
 213.653	 1.980	JITTER4	0	0	 0.000
 215.633	 2.983	ISI1	0	0	 0.000
 218.616	 9.993	P1	0	0	 0.000
 228.609	 1.023	JITTER1	0	0	 0.000
 229.632	 4.007	ISI4	0	0	 0.000
 233.639	 10.013	P2	0	0	 0.000
 243.652	 1.693	JITTER3	0	0	 0.000
 245.345	 3.671	ISI3	0	0	 0.000
 249.016	 9.993	T2	0	0	 0.000
 259.009	 1.292	JITTER2	0	0	 0.000
 260.301	 4.006	ISI4	0	0	 0.000
 264.307	 10.013	P1	0	0	 0.000
 274.320	 1.959	JITTER4	0	0	 0.000
 276.279	 3.339	ISI2	0	0	 0.000
 279.618	 9.992	T1	0	0	 0.000
 289.610	 1.291	JITTER2	0	0	 0.000
 290.901	 3.672	ISI3	0	0	 0.000
 294.573	 9.993	P2	0	0	 0.000
 304.566	 1.024	JITTER1	0	0	 0.000
 305.590	 4.006	ISI4	0	0	 0.000
 309.596	 10.014	T2	0	0	 0.000
 319.610	 1.291	JITTER2	0	0	 0.000
 320.901	 3.317	ISI2	0	0	 0.000
 324.218	 10.014	T1	0	0	 0.000
 334.232	 1.959	JITTER4	0	0	 0.000
 336.191	 3.672	ISI3	0	0	 0.000
 339.863	 2.992	END	0	0	 0.000
