onset	duration	trial_type	expected_response	given_response	response_time
 0.000	 39.972	START	0	0	 0.000
 39.972	 9.994	P1	0	0	 0.000
 49.966	 1.979	JITTER4	0	0	 0.000
 51.945	 4.007	ISI4	0	0	 0.000
 55.952	 9.993	T1	0	0	 0.000
 65.945	 1.712	JITTER3	0	0	 0.000
 67.657	 3.338	ISI2	0	0	 0.000
 70.995	 9.993	P2	0	0	 0.000
 80.988	 1.024	JITTER1	0	0	 0.000
 82.012	 2.983	ISI1	0	0	 0.000
 84.995	 9.993	T1	0	0	 0.000
 94.988	 1.291	JITTER2	0	0	 0.000
 96.279	 3.672	ISI3	0	0	 0.000
 99.951	 9.992	T2	0	0	 0.000
 109.943	 1.024	JITTER1	0	0	 0.000
 110.967	 4.007	ISI4	0	0	 0.000
 114.974	 10.013	P1	0	0	 0.000
 124.987	 1.959	JITTER4	0	0	 0.000
 126.946	 3.004	ISI1	0	0	 0.000
 129.950	 9.993	T2	0	0	 0.000
 139.943	 1.291	JITTER2	0	0	 0.000
 141.234	 3.337	ISI2	0	0	 0.000
 144.571	 9.994	P1	0	0	 0.000
 154.565	 1.692	JITTER3	0	0	 0.000
 156.257	 3.003	ISI1	0	0	 0.000
 159.260	 9.993	P2	0	0	 0.000
 169.253	 1.291	JITTER2	0	0	 0.000
 170.544	 3.672	ISI3	0	0	 0.000
 174.216	 9.994	T2	0	0	 0.000
 184.210	 1.979	JITTER4	0	0	 0.000
 186.189	 3.318	ISI2	0	0	 0.000
 189.507	 10.013	P2	0	0	 0.000
 199.520	 1.291	JITTER2	0	0	 0.000
 200.811	 4.007	ISI4	0	0	 0.000
 204.818	 9.992	T1	0	0	 0.000
 214.810	 1.692	JITTER3	0	0	 0.000
 216.502	 3.673	ISI3	0	0	 0.000
 220.175	 10.013	T2	0	0	 0.000
 230.188	 1.003	JITTER1	0	0	 0.000
 231.191	 4.027	ISI4	0	0	 0.000
 235.218	 9.993	P1	0	0	 0.000
 245.211	 1.692	JITTER3	0	0	 0.000
 246.903	 3.337	ISI2	0	0	 0.000
 250.240	 9.994	T2	0	0	 0.000
 260.234	 1.023	JITTER1	0	0	 0.000
 261.257	 3.672	ISI3	0	0	 0.000
 264.929	 9.994	T1	0	0	 0.000
 274.923	 1.979	JITTER4	0	0	 0.000
 276.902	 3.318	ISI2	0	0	 0.000
 280.220	 10.013	P2	0	0	 0.000
 290.233	 1.291	JITTER2	0	0	 0.000
 291.524	 2.983	ISI1	0	0	 0.000
 294.507	 9.994	T1	0	0	 0.000
 304.501	 1.023	JITTER1	0	0	 0.000
 305.524	 3.672	ISI3	0	0	 0.000
 309.196	 9.992	P1	0	0	 0.000
 319.188	 1.713	JITTER3	0	0	 0.000
 320.901	 4.007	ISI4	0	0	 0.000
 324.908	 9.992	P2	0	0	 0.000
 334.900	 1.980	JITTER4	0	0	 0.000
 336.880	 2.984	ISI1	0	0	 0.000
 339.864	 2.992	END	0	0	 0.000
